Distance,Speed,Lateral G,Longitudinal G
1559,172.499999,-0.30528948,0.307949360
1564,173.299999,-0.13006484,0.290855343
1569,173.799999,0.01571706,0.246899299
1573,174.299999,0.09499358,0.260330313
1578,175.399999,0.14120667,0.262772315
1583,175.999999,0.11938382,0.234689287
1588,176.699999,0.05263158,0.032228006
1593,174.249999,-0.02743491,-0.393515840
1598,170.299999,-0.09923965,-0.908521303
1602,164.999999,-0.14196372,-1.250626566
1607,160.699999,-0.16722622,-1.363408521
1611,155.499999,-0.18536256,-1.378446115
1615,148.949999,-0.23601922,-1.322055137
1620,147.599999,-0.30543760,-1.375939849
1624,141.299999,-0.36359895,-1.401002506
1627,135.199999,-0.44052203,-1.289473684
1631,132.349999,-0.50743885,-1.244360902
1635,128.499999,-0.57560646,-1.203007518
1638,123.799999,-0.65690727,-1.174185463
1642,119.749999,-0.71256706,-1.152882205
1645,115.799999,-0.76072216,-1.098997493
1648,111.849999,-0.79949639,-1.007518796
1651,108.799999,-0.84952766,-0.923558897
1654,104.999999,-0.91706987,-0.780701754
1657,101.899999,-0.95646950,-0.614035087
1660,100.799999,-1.03714492,-0.588972430
1662,97.249999,-1.08467463,-0.560150375
1665,95.299999,-1.16597544,-0.573934837
1668,92.699999,-1.26853954,-0.560150375
1670,90.999999,-1.34546262,-0.516290726
1673,89.299999,-1.41425562,-0.521303258
1675,85.799999,-1.44677594,-0.491228070
1677,83.749999,-1.45990915,-0.471177945
1680,80.799999,-1.46428688,-0.469924812
1682,78.299999,-1.43927125,-0.416040100
1684,76.699999,-1.45302985,-0.355889724
1686,74.599999,-1.45990915,-0.295739348
1688,73.299999,-1.44489977,-0.233082706
1690,71.999999,-1.47116618,-0.230576441
1692,71.049999,-1.46115993,-0.216791979
1694,69.499999,-1.46553767,-0.184210526
1696,68.899999,-1.46303610,-0.160401002
1698,67.499999,-1.48304861,-0.145363408
1700,66.199999,-1.47742009,-0.136591478
1702,64.599999,-1.48054705,-0.086466165
1703,63.599999,-1.49305487,-0.036340852
1705,62.599999,-1.45803298,0.058351006
1707,62.449999,-1.45803298,0.141700404
1709,62.299999,-1.41488101,0.204164256
1710,62.199999,-1.36860208,0.271319324
1712,62.499999,-1.31231690,0.326264378
1714,63.099999,-1.23101609,0.441038493
1716,64.299999,-1.18848951,0.569243621
1717,66.199999,-1.13408051,0.644945697
1719,67.199999,-1.07279220,0.671807724
1721,69.199999,-0.97085349,0.648608701
1723,70.949999,-0.87704486,0.583895636
1725,72.199999,-0.85515618,0.579011631
1727,73.249999,-0.83764523,0.705995758
1729,75.149999,-0.85390540,0.798791851
1731,77.599999,-0.86141009,0.779255831
1734,79.949999,-0.80512491,0.760940813
1736,83.199999,-0.80012178,0.754835807
1738,85.199999,-0.81513116,0.771929824
1741,87.199999,-0.80575030,0.767045819
